Date,Adj Close
2014-03-03,8.83
2014-03-04,9.19
2014-03-05,9.12
2014-03-06,8.88
2014-03-07,8.63
2014-03-10,8.71
2014-03-11,8.78
2014-03-12,8.78
2014-03-13,8.62
2014-03-14,8.78
2014-03-17,8.77
2014-03-18,8.68
2014-03-19,8.72
2014-03-20,9.1
2014-03-21,9.05
2014-03-24,9.11
2014-03-25,9.06
2014-03-26,8.97
2014-03-27,9.27
2014-03-28,9.29
2014-03-31,9.19
2014-04-01,9.57
2014-04-02,9.39
2014-04-03,9.4
2014-04-04,9.26
2014-04-07,8.84
2014-04-08,8.72
2014-04-09,8.8
2014-04-10,8.8
2014-04-11,8.25
2014-04-14,8.21
2014-04-15,8.09
2014-04-16,8.37
2014-04-17,8.52
2014-04-21,8.55
2014-04-22,8.59
2014-04-23,8.37
2014-04-24,8.06
2014-04-25,7.82
2014-04-28,7.43
2014-04-29,8.27
2014-04-30,8.5
2014-05-01,8.73
2014-05-02,8.7
2014-05-05,8.76
2014-05-06,8.68
2014-05-07,8.73
2014-05-08,8.77
2014-05-09,8.81
2014-05-12,8.97
2014-05-13,9.03
2014-05-14,8.99
2014-05-15,9.53
2014-05-16,9.01
2014-05-19,9.12
2014-05-20,8.99
2014-05-21,9.1
2014-05-22,9.06
2014-05-23,9.24
2014-05-27,9.23
2014-05-28,9.2
2014-05-29,9.44
2014-05-30,9.55
2014-06-02,9.71
2014-06-03,9.5
2014-06-04,9.4
2014-06-05,9.02
2014-06-06,8.78
2014-06-09,8.77
2014-06-10,8.84
2014-06-11,8.75
2014-06-12,8.59
2014-06-13,8.73
2014-06-16,8.61
2014-06-17,8.64
2014-06-18,8.52
2014-06-19,8.46
2014-06-20,8.41
2014-06-23,8.36
2014-06-24,8.24
2014-06-25,8.54
2014-06-26,8.41
2014-06-27,8.51
2014-06-30,8.53
2014-07-01,8.53
2014-07-02,8.48
2014-07-03,8.6
2014-07-07,8.5
2014-07-08,8.32
2014-07-09,8.41
2014-07-10,8.25
2014-07-11,8.55
2014-07-14,8.44
2014-07-15,8.11
2014-07-16,8.14
2014-07-17,8
2014-07-18,7.9
2014-07-21,7.67
2014-07-22,7.64
2014-07-23,7.68
2014-07-24,7.77
2014-07-25,7.72
2014-07-28,7.64
2014-07-29,8
2014-07-30,7.76
2014-07-31,7.35
2014-08-01,7.45
2014-08-04,7.37
2014-08-05,7.28
2014-08-06,5.9
2014-08-07,5.88
2014-08-08,5.67
2014-08-11,5.74
2014-08-12,5.86
2014-08-13,5.82
2014-08-14,5.71
2014-08-15,5.69
2014-08-18,5.62
2014-08-19,5.39
2014-08-20,5.5
2014-08-21,5.56
2014-08-22,5.54
2014-08-25,5.58
2014-08-26,5.77
2014-08-27,5.69
2014-08-28,5.66
2014-08-29,5.61
2014-09-02,5.54
2014-09-03,5.64
2014-09-04,5.77
2014-09-05,5.89
2014-09-08,5.78
2014-09-09,5.77
2014-09-10,6.15
2014-09-11,6.57
2014-09-12,7
2014-09-15,6.94
2014-09-16,6.77
2014-09-17,6.69
2014-09-18,6.85
2014-09-19,6.88
2014-09-22,6.8
2014-09-23,6.67
2014-09-24,6.64
2014-09-25,6.39
2014-09-26,6.42
2014-09-29,6.35
2014-09-30,6.34
2014-10-01,6.25
2014-10-02,6.25
2014-10-03,6.25
2014-10-06,6
2014-10-07,6.04
2014-10-08,6.07
2014-10-09,5.98
2014-10-10,5.8
2014-10-13,5.9
2014-10-14,6.04
2014-10-15,6.11
2014-10-16,5.94
2014-10-17,6.03
2014-10-20,6.1
2014-10-21,6.24
2014-10-22,6.06
2014-10-23,6.09
2014-10-24,6.08
2014-10-27,6.04
2014-10-28,6.04
2014-10-29,6
2014-10-30,6
2014-10-31,5.93
2014-11-03,6.2
2014-11-04,5.18
2014-11-05,4.92
2014-11-06,4.69
2014-11-07,4.72
2014-11-10,4.88
2014-11-11,4.89
2014-11-12,5
2014-11-13,5
2014-11-14,5.05
2014-11-17,4.91
2014-11-18,4.76
2014-11-19,4.71
2014-11-20,4.83
2014-11-21,4.96
2014-11-24,4.89
2014-11-25,5.09
2014-11-26,5.07
2014-11-28,5.12
2014-12-01,4.87
2014-12-02,4.72
2014-12-03,4.69
2014-12-04,4.86
2014-12-05,4.85
2014-12-08,4.75
2014-12-09,4.57
2014-12-10,4.36
2014-12-11,4.4
2014-12-12,4.08
2014-12-15,4.05
2014-12-16,3.81
2014-12-17,3.97
2014-12-18,4.08
2014-12-19,4.16
2014-12-22,4.21
2014-12-23,4.24
2014-12-24,4.19
2014-12-26,4.34
2014-12-29,4.22
2014-12-30,4.12
2014-12-31,4.15
2015-01-02,4.24
2015-01-05,4.21
2015-01-06,4.19
2015-01-07,4.22
2015-01-08,4.16
2015-01-09,4.13
2015-01-12,4.13
2015-01-13,4.15
2015-01-14,4.13
2015-01-15,4.09
2015-01-16,4.08
2015-01-20,4.16
2015-01-21,4.39
2015-01-22,4.29
2015-01-23,4.26
2015-01-26,4.37
2015-01-27,4.38
2015-01-28,4.36
2015-01-29,4.25
2015-01-30,4.3
2015-02-02,4.27
2015-02-03,4.49
2015-02-04,4.58
2015-02-05,4.82
2015-02-06,4.92
2015-02-09,4.87
2015-02-10,4.92
2015-02-11,5.03
2015-02-12,5.15
2015-02-13,5.23
2015-02-17,5.18
2015-02-18,4.98
2015-02-19,4.88
2015-02-20,4.83
2015-02-23,4.67
2015-02-24,4.63
2015-02-25,4.96
2015-02-26,4.77
2015-02-27,5.12
2015-03-02,5.09
2015-03-03,5.24
2015-03-04,5.21
2015-03-05,5.38
2015-03-06,5.23
2015-03-09,5.34
2015-03-10,5.04
2015-03-11,5.05
2015-03-12,5.1
2015-03-13,5.12
2015-03-16,5.15
2015-03-17,5.09
2015-03-18,5.08
2015-03-19,4.99
2015-03-20,4.95
2015-03-23,5.08
2015-03-24,4.97
2015-03-25,4.76
2015-03-26,4.79
2015-03-27,4.72
2015-03-30,4.75
2015-03-31,4.74
2015-04-01,4.73
2015-04-02,4.85
2015-04-06,4.97
2015-04-07,4.99
2015-04-08,4.91
2015-04-09,4.93
2015-04-10,4.97
2015-04-13,4.98
2015-04-14,4.99
2015-04-15,5.04
2015-04-16,5.1
2015-04-17,5.11
2015-04-20,4.99
2015-04-21,4.98
2015-04-22,5.08
2015-04-23,5.24
2015-04-24,5.27
2015-04-27,5.26
2015-04-28,5.29
2015-04-29,5.3
2015-04-30,5.13
2015-05-01,5.22
2015-05-04,5.15
2015-05-05,4.99
2015-05-06,4.84
2015-05-07,4.73
2015-05-08,4.77
2015-05-11,4.7
2015-05-12,4.66
2015-05-13,4.67
2015-05-14,4.74
2015-05-15,4.82
2015-05-18,4.81
2015-05-19,4.73
2015-05-20,4.7
2015-05-21,4.72
2015-05-22,4.69
2015-05-26,4.73
2015-05-27,4.72
2015-05-28,4.63
2015-05-29,4.65
2015-06-01,4.64
2015-06-02,4.69
2015-06-03,4.75
2015-06-04,4.46
2015-06-05,4.42
2015-06-08,4.5
2015-06-09,4.53
2015-06-10,4.54
2015-06-11,4.67
2015-06-12,4.63
2015-06-15,4.62
2015-06-16,4.64
2015-06-17,4.69
2015-06-18,4.74
2015-06-19,4.68
2015-06-22,4.69
2015-06-23,4.58
2015-06-24,4.62
2015-06-25,4.62
2015-06-26,4.56
2015-06-29,4.52
2015-06-30,4.56
2015-07-01,4.52
2015-07-02,4.48
2015-07-06,4.37
2015-07-07,4.3
2015-07-08,3.95
2015-07-09,3.9
2015-07-10,3.78
2015-07-13,3.71
2015-07-14,4
2015-07-15,3.84
2015-07-16,3.98
2015-07-17,3.84
2015-07-20,3.81
2015-07-21,3.77
2015-07-22,3.81
2015-07-23,3.67
2015-07-24,3.44
2015-07-27,3.1
2015-07-28,3.31
2015-07-29,3.48
2015-07-30,3.43
2015-07-31,3.37
2015-08-03,3.34
2015-08-04,3.49
2015-08-05,3.15
2015-08-06,3.29
2015-08-07,3.37
2015-08-10,3.84
2015-08-11,3.85
2015-08-12,3.88
2015-08-13,3.88
2015-08-14,4.18
2015-08-17,4.6
2015-08-18,4.86
2015-08-19,4.92
2015-08-20,4.69
2015-08-21,4.71
2015-08-24,4.61
2015-08-25,4.6
2015-08-26,4.79
2015-08-27,5.07
2015-08-28,5.19
2015-08-31,5.06
2015-09-01,5.02
2015-09-02,5
2015-09-03,5.05
2015-09-04,4.95
2015-09-08,5
2015-09-09,4.92
2015-09-10,4.82
2015-09-11,4.88
2015-09-14,4.78
2015-09-15,4.95
2015-09-16,4.69
2015-09-17,4.69
2015-09-18,4.48
2015-09-21,4.38
2015-09-22,4.4
2015-09-23,4.34
2015-09-24,4.39
2015-09-25,4.3
2015-09-28,3.98
2015-09-29,3.74
2015-09-30,3.84
2015-10-01,4.05
2015-10-02,4.25
2015-10-05,4.42
2015-10-06,4.43
2015-10-07,4.59
2015-10-08,4.55
2015-10-09,4.47
2015-10-12,4.5
2015-10-13,4.39
2015-10-14,4.27
2015-10-15,4.27
2015-10-16,4.29
2015-10-19,4.41
2015-10-20,4.36
2015-10-21,4.34
2015-10-22,4.46
2015-10-23,4.71
2015-10-26,4.78
2015-10-27,4.88
2015-10-28,5.01
2015-10-29,4.8
2015-10-30,4.73
2015-11-02,4.85
2015-11-03,4.51
2015-11-04,4.48
2015-11-05,4.68
2015-11-06,4.53
2015-11-09,4.28
2015-11-10,4.08
2015-11-11,4
2015-11-12,4.14
2015-11-13,4.18
2015-11-16,4.21
2015-11-17,4.4
2015-11-18,3.99
2015-11-19,4.05
2015-11-20,3.83
2015-11-23,3.79
2015-11-24,3.83
2015-11-25,3.76
2015-11-27,3.73
2015-11-30,3.65
2015-12-01,3.63
2015-12-02,3.55
2015-12-03,3.53
2015-12-04,3.53
2015-12-07,3.63
2015-12-08,3.77
2015-12-09,3.74
2015-12-10,3.95
2015-12-11,3.65
2015-12-14,3.52
2015-12-15,3.53
2015-12-16,3.69
2015-12-17,3.6
2015-12-18,3.66
2015-12-21,3.63
2015-12-22,3.74
2015-12-23,3.92
2015-12-24,3.81
2015-12-28,3.81
2015-12-29,3.85
2015-12-30,3.63
2015-12-31,3.62
2016-01-04,3.52
2016-01-05,3.58
2016-01-06,3.59
2016-01-07,3.35
2016-01-08,3.4
2016-01-11,3.36
2016-01-12,3.37
2016-01-13,3.1
2016-01-14,3.19
2016-01-15,2.87
2016-01-19,2.64
2016-01-20,2.45
2016-01-21,2.5
2016-01-22,2.87
2016-01-25,2.52
2016-01-26,2.99
2016-01-27,2.92
2016-01-28,3.05
2016-01-29,3.02
2016-02-01,3.07
2016-02-02,2.77
2016-02-03,2.84
2016-02-04,2.83
2016-02-05,2.85
2016-02-08,2.55
2016-02-09,2.65
2016-02-10,2.72
2016-02-11,2.55
2016-02-12,2.66
2016-02-16,2.79
2016-02-17,2.99
2016-02-18,3.07
2016-02-19,2.93
2016-02-22,3.02
2016-02-23,2.95
2016-02-24,3.05
2016-02-25,3.07
2016-02-26,3.33
