date, log_sales, log_price, newyear, valentine, christmas, mother
2014-01-19,  6.148468,  3.913821,       0,         0,         0,      0
2014-01-26,  6.139885,  3.888140,       0,         0,         0,      0
2014-02-02,  6.194405,  3.882800,       0,         0,         0,      0
2014-02-09,  6.487684,  3.865770,       0,         1,         0,      0
2014-02-16,  6.084499,  3.926912,       0,         0,         0,      0
2014-02-23,  6.115892,  3.963286,       0,         0,         0,      0
2014-03-02,  6.047372,  3.938860,       0,         0,         0,      0
2014-03-09,  6.011267,  3.940416,       0,         0,         0,      0
2014-03-16,  6.216606,  3.876810,       0,         0,         0,      0
2014-03-23,  6.175867,  3.881976,       0,         0,         0,      0
2014-03-30,  6.324359,  3.858833,       0,         0,         0,      0
2014-04-06,  6.429719,  3.825157,       0,         0,         0,      0
2014-04-13,  6.240276,  3.878880,       0,         0,         0,      0
2014-04-20,  6.236370,  3.908617,       0,         0,         0,      0
2014-04-27,  6.100319,  3.936130,       0,         0,         0,      0
2014-05-04,  6.152733,  3.907010,       0,         0,         0,      1
2014-05-11,  6.388561,  3.892840,       0,         0,         0,      0
2014-05-18,  6.313548,  3.874944,       0,         0,         0,      0
2014-05-25,  6.146329,  3.874529,       0,         0,         0,      0
2014-06-01,  6.102559,  3.904998,       0,         0,         0,      0
2014-06-08,  6.313548,  3.857567,       0,         0,         0,      0
2014-06-15,  6.226537,  3.885884,       0,         0,         0,      0
2014-06-22,  6.263398,  3.914819,       0,         0,         0,      0
2014-06-29,  6.261492,  3.873282,       0,         0,         0,      0
2014-07-06,  6.263398,  3.890799,       0,         0,         0,      0
2014-07-13,  6.340359,  3.844814,       0,         0,         0,      0
2014-07-20,  6.304449,  3.872866,       0,         0,         0,      0
2014-07-27,  6.431331,  3.840742,       0,         0,         0,      0
2014-08-03,  6.298949,  3.868489,       0,         0,         0,      0
2014-08-10,  6.345636,  3.862623,       0,         0,         0,      0
2014-08-17,  6.287859,  3.902579,       0,         0,         0,      0
2014-08-24,  6.236370,  3.890595,       0,         0,         0,      0
2014-08-31,  6.204558,  3.890391,       0,         0,         0,      0
2014-09-07,  6.165418,  3.893044,       0,         0,         0,      0
2014-09-14,  6.253829,  3.860730,       0,         0,         0,      0
2014-09-21,  6.298949,  3.872658,       0,         0,         0,      0
2014-09-28,  6.255750,  3.909219,       0,         0,         0,      0
2014-10-05,  6.102559,  3.926912,       0,         0,         0,      0
2014-10-12,  6.278521,  3.879500,       0,         0,         0,      0
2014-10-19,  6.173786,  3.909420,       0,         0,         0,      0
2014-10-26,  6.298949,  3.859044,       0,         0,         0,      0
2014-11-02,  6.263398,  3.880532,       0,         0,         0,      0
2014-11-09,  6.148468,  3.881976,       0,         0,         0,      0
2014-11-16,  6.126869,  3.896503,       0,         0,         0,      0
2014-11-23,  6.198479,  3.903789,       0,         0,         0,      0
2014-11-30,  6.418365,  3.850148,       0,         0,         0,      0
2014-12-07,  6.350886,  3.867444,       0,         0,         0,      0
2014-12-14,  6.357842,  3.848018,       0,         0,         0,      0
2014-12-21,  6.354370,  3.869116,       0,         0,         1,      0
2014-12-28,  6.363028,  3.812865,       1,         0,         0,      0
2015-01-04,  6.295266,  3.824284,       0,         0,         0,      0
2015-01-11,  6.255750,  3.839022,       0,         0,         0,      0
2015-01-18,  6.274762,  3.847591,       0,         0,         0,      0
